"Name","ICAO","Location"
"Markdorf",,"47° 42′ 25″ N, 9° 23′ 22″ O"
"Marpingen",,"49° 27′ 14″ N, 7° 2′ 25″ O"
"Meiersberg",,"51° 17′ 59″ N, 6° 57′ 31″ O"
"Memmingen",,"47° 59′ 23″ N, 10° 14′ 26″ O"
"Menden-Barge",,"51° 27′ 3″ N, 7° 50′ 1″ O"
"Mendig",,"50° 22′ 0″ N, 7° 18′ 59″ O"
"Michelbach",,"50° 13′ 16″ N, 8° 4′ 16″ O"
"Möckmühl-Korb",,"49° 20′ 43″ N, 9° 24′ 10″ O"
"Mönchsheide",,"50° 30′ 32″ N, 7° 15′ 26″ O"
"Montabaur",,"50° 25′ 29″ N, 7° 49′ 41″ O"
"Mosbach",,"49° 21′ 10″ N, 9° 7′ 17″ O"
"Mülben",,"49° 27′ 14″ N, 9° 6′ 24″ O"
"Müllheim",,"47° 49′ 14″ N, 7° 38′ 29″ O"
"Münsingen-Eisberg",,"48° 24′ 37″ N, 9° 26′ 32″ O"
"Musbach",,"48° 30′ 13″ N, 8° 28′ 46″ O"
"Nastätten",,"50° 11′ 49″ N, 7° 53′ 31″ O"
"Neresheim",,"48° 44′ 36″ N, 10° 19′ 36″ O"
"Neuberg-Zell",,"48° 42′ 43″ N, 11° 12′ 46″ O"
"Neu-Gülze",,"53° 22′ 57″ N, 10° 48′ 22″ O"
"Neuruppin",,"52° 56′ 22″ N, 12° 46′ 25″ O"
"Nidda",,"50° 23′ 59″ N, 8° 59′ 0″ O"
"Oberems",,"50° 14′ 40″ N, 8° 23′ 55″ O"
"Oberhinkofen",,"48° 56′ 59″ N, 12° 8′ 38″ O"
"Ochsenhausen",,"48° 3′ 14″ N, 9° 55′ 0″ O"
"Oeventrop-Ruhrwiesen",,"51° 23′ 48″ N, 8° 8′ 56″ O"
"Oppershausen",,"52° 35′ 49″ N, 10° 13′ 23″ O"
"Oppingen-Au",,"48° 33′ 22″ N, 9° 49′ 21″ O"
"Osterholz-Scharmbeck",,"53° 12′ 53″ N, 8° 48′ 43″ O"
"Ottenberg",,"49° 19′ 44″ N, 11° 28′ 30″ O"
"Paterzell",,"47° 51′ 0″ N, 11° 3′ 47″ O"
"Peine",,"52° 19′ 29″ N, 10° 11′ 3″ O"
"Peißenberg",,"47° 50′ 0″ N, 11° 4′ 4″ O"
"Perleberg",,"53° 4′ 24″ N, 11° 49′ 13″ O"
"Pfingstweide",,"50° 26′ 13″ N, 8° 37′ 34″ O"
"Plätzer",,"50° 42′ 33″ N, 9° 44′ 0″ O"
"Pleidelsheim",,"48° 56′ 59″ N, 9° 11′ 22″ O"
"Pohlheim",,"50° 31′ 59″ N, 8° 44′ 12″ O"
"Poltringen",,"48° 32′ 52″ N, 8° 56′ 45″ O"
"Quakenbrück",,"52° 39′ 53″ N, 7° 55′ 21″ O"
"Radevormwald",,"51° 13′ 2″ N, 7° 23′ 1″ O"
"Rastatt",,"48° 52′ 26″ N, 8° 12′ 50″ O"
"Reinheim",,"49° 50′ 24″ N, 8° 51′ 0″ O"
"Reiselfingen",,"47° 51′ 10″ N, 8° 22′ 24″ O"
"Rheinstetten",,"48° 58′ 40″ N, 8° 20′ 33″ O"
"Riedelbach",,"50° 18′ 9″ N, 8° 23′ 3″ O"
"Riedlingen",,"48° 8′ 43″ N, 9° 28′ 5″ O"
"Riesa-Canitz",,"51° 18′ 14″ N, 13° 13′ 44″ O"
"Roßfeld",,"48° 30′ 52″ N, 9° 20′ 8″ O"
"Rothenberg",,"49° 28′ 39″ N, 8° 56′ 0″ O"
"Saal/Saale",,"50° 18′ 37″ N, 10° 22′ 24″ O"
"Schäfhalde",,"48° 41′ 40″ N, 10° 6′ 1″ O"
"Scheuen",,"52° 40′ 9″ N, 10° 5′ 20″ O"
"Schlechtenfeld",,"48° 17′ 5″ N, 9° 40′ 30″ O"
"Schnuckenheide",,"52° 43′ 3″ N, 10° 32′ 2″ O"
"Schotten",,"50° 32′ 9″ N, 9° 9′ 0″ O"
"Schreckhof",,"49° 21′ 8″ N, 9° 7′ 19″ O"
"Schwann-Conweiler",,"48° 50′ 12″ N, 8° 32′ 27″ O"
"Sevelen",,"51° 29′ 32″ N, 6° 25′ 44″ O"
"Siegen-Eisernhardt",,"50° 50′ 18″ N, 8° 0′ 51″ O"
"Singhofen",,"50° 16′ 22″ N, 7° 51′ 25″ O"
"Sinsheim",,"49° 14′ 53″ N, 8° 53′ 41″ O"
"Stahringen",,"47° 48′ 16″ N, 8° 58′ 50″ O"
"Stauffenbühl",,"51° 9′ 59″ N, 10° 3′ 0″ O"
"Steinberg (Ems)",,"52° 57′ 24″ N, 7° 33′ 22″ O"
"Steinberg (Hildesheim)",,"52° 5′ 6″ N, 10° 1′ 0″ O"
