"Name","ICAO","Location"
"Halle-Oppin","EDAQ","51° 33′ N, 12° 3′ O"
"Hamburg-Finkenwerder","EDHI","53° 32′ N, 9° 50′ O"
"Hameln-Pyrmont","EDVW","51° 58′ N, 9° 18′ O"
"Hamm-Lippewiesen","EDLH","51° 41′ N, 7° 49′ O"
"Harle","EDXP","53° 42′ N, 7° 49′ O"
"Hartenholm","EDHM","53° 55′ N, 10° 2′ O"
"Haßfurt-Schweinfurt","EDQT","50° 1′ N, 10° 32′ O"
"Heide-Büsum","EDXB","54° 9′ N, 8° 54′ O"
"Heilbad Heiligenstadt","EDHD","51° 25′ N, 10° 9′ O"
"Helgoland-Düne","EDXH","54° 11′ N, 7° 55′ O"
"Heppenheim","EDEP","49° 37′ N, 8° 37′ O"
"Herrenteich","EDEH","49° 21′ N, 8° 29′ O"
"Herten-Rheinfelden","EDTR","47° 34′ N, 7° 45′ O"
"Herzogenaurach","EDQH","49° 35′ N, 10° 53′ O"
"Hettstadt","EDGH","49° 48′ N, 9° 50′ O"
"Hetzleser Berg","EDXQ","49° 39′ N, 11° 10′ O"
"Heubach","EDTH","48° 48′ N, 9° 56′ O"
"Hildesheim","EDVM","52° 11′ N, 9° 57′ O"
"Hirzenhain","EDFI","50° 47′ N, 8° 24′ O"
"Hockenheim","EDFX","49° 20′ N, 8° 32′ O"
"Hodenhagen","EDVH","52° 46′ N, 9° 36′ O"
"Hof-Plauen","EDQM","50° 17′ N, 11° 51′ O"
"Hölleberg","EDVL","51° 37′ N, 9° 24′ O"
"Hoppstädten-Weiersbach","EDRH","49° 37′ N, 7° 11′ O"
"Höxter-Holzminden","EDVI","51° 48′ N, 9° 23′ O"
"Hünsborn","EDKH","50° 56′ N, 7° 54′ O"
"Husum-Schwesing","EDXJ","54° 31′ N, 9° 8′ O"
"Hüttenbusch","EDXU","53° 17′ N, 8° 57′ O"
"Idar-Oberstein/Göttschied","EDRG","49° 44′ N, 7° 20′ O"
"Illertissen","EDMI","48° 14′ N, 10° 8′ O"
"Ingelfingen-Bühlhof","EDGI","49° 19′ N, 9° 40′ O"
"Itzehoe/Hungriger Wolf","EDHF","54° 0′ N, 9° 35′ O"
